,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
2847,600446,金证股份,-0.2163,-0.0997,-6.9877,-0.1843,-20.3737
2848,601126,四方股份,-0.2174,-0.0484,-3.7289,-0.1381,-14.2326
2849,002780,三夫户外,-0.2174,-0.0727,-4.5762,-0.6779999999999999,-67.8835
2850,000158,常山北明,-0.2184,-0.0951,,-0.1774,-18.9384
2851,600629,华建集团,-0.2189,-0.0967,-3.8598,-0.1242,-12.5821
2852,002431,棕榈股份,-0.21899999999999997,-0.0258,-7.0094,-0.0404,-6.6319
2853,002617,露笑科技,-0.2204,-0.0505,-3.7405,-0.2726,-27.5833
2854,600638,新黄浦,-0.222,-0.0154,-1.6481,-0.0252,-5.1034
2855,002421,达实智能,-0.2225,-0.05,-2.4787,-0.1326,-15.2825
2856,002077,大港股份,-0.2226,-0.0197,-22.7191,-0.0421,-4.9172
2857,002629,仁智股份,-0.2238,-0.0185,,-0.1602,-16.0204
2858,000595,宝塔实业,-0.22399999999999998,-0.017,,-0.0405,-4.9547
2859,600118,中国卫星,-0.2241,-0.0465,-2.6821,-0.0962,-10.0644
2860,603616,韩建河山,-0.2241,-0.0204,,-0.0408,-4.1298
2861,002030,达安基因,-0.225,-0.0507,-2.4345,-0.1236,-14.573
2862,600180,瑞茂通,-0.225,-0.1154,-9.507,-0.1617,-20.7311
2863,002209,达意隆,-0.22699999999999998,-0.0586,,-0.0995,-10.4069
2864,300025,华星创业,-0.2271,-0.0548,-4.2336,-0.0906,-9.2936
2865,603990,麦迪科技,-0.2278,-0.0476,-2.0102,-0.0868,-13.5675
2866,000839,中信国安,-0.2289,-0.0308,-2.1458,-0.0693,-7.2621
2867,600677,航天通信,-0.2294,-0.0833,-14.3803,-0.1231,-13.4974
2868,600773,西藏城投,-0.2298,-0.0318,-10.3433,-0.0434,-10.4324
2869,600150,*ST船舶,-0.2299,-0.0523,,-0.084,-11.9938
2870,002097,山河智能,-0.2301,-0.0276,-12.8467,-0.0423,-4.53
2871,300407,凯发电气,-0.2304,-0.0369,-3.655,-0.1346,-14.3088
